,TITLE,REGION,SPECIFIC REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,lat,lon,MOST_RECENT_REPORT_DATE,REPORT_COUNT,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DOGS ALLOWED ON LEASH,NO DOGS,KID FRIENDLY,REQUIRED PASSES,URL
373,Yellow Hill,Snoqualmie Region,Salmon La Sac/Teanaway,7.4,roundtrip,2827.0,5527.0,2.5,8,47.29553083,-120.9641075,8/31/21 0:00,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/yellow-hill
374,Klonaqua Lakes,Central Cascades,Leavenworth Area,10.0,one-way,2700.0,5200.0,3.0,5,47.61240018,-120.9499038,8/2/21 0:00,29,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/klonaqua-lakes
375,Snowall Cradle Lake,Central Cascades,Leavenworth Area,9.1,one-way,2700.0,6100.0,3.0,4,,,7/19/21 0:00,22,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/snowall-cradle-lake
376,French Creek,Central Cascades,Leavenworth Area,14.4,one-way,3200.0,6100.0,0.0,0,47.6294,-120.9653,8/2/21 0:00,41,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/french-creek-2
377,Kraus Ridge,South Cascades,Mount St. Helens,6.2,roundtrip,1570.0,2370.0,2.0,4,46.464933,-121.897383,8/6/19 0:00,4,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/kraus-ridge
378,South Creek,North Cascades,Methow/Sawtooth,,,,,2.67,3,,,5/22/21 0:00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/south-creek
379,Company Creek,Central Cascades,Entiat Mountains/Lake Chelan,11.0,one-way,5400.0,6600.0,2.75,4,48.35222796,-120.7294035,7/24/20 0:00,5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/company-creek
380,Downey Creek,North Cascades,Mountain Loop Highway,13.2,roundtrip,1280.0,2400.0,2.75,8,48.25953333,-121.2229333,3/3/21 0:00,82,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/downey-creek
381,Sulphur Mountain,North Cascades,Mountain Loop Highway,10.0,roundtrip,4200.0,6000.0,3.4,5,48.244667,-121.188833,3/3/21 0:00,59,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/sulphur-mountain
382,Sulphur Creek,North Cascades,Mountain Loop Highway,3.6,roundtrip,900.0,2250.0,3.57,7,48.24983333,-121.1936167,9/6/20 0:00,37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/sulphur-creek
383,Interlaken Park,Puget Sound and Islands,Seattle-Tacoma Area,1.6,roundtrip,200.0,325.0,3.5,4,47.63567439,-122.3038073,8/30/20 0:00,7,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/interlaken-park
384,Mouth of the Tucannon,Eastern Washington,Palouse and Blue Mountains,2.6,roundtrip,80.0,580.0,2.33,3,46.54112989,-118.1585008,5/25/20 0:00,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/mouth-of-the-tucannon
385,Cady Creek,Central Cascades,Stevens Pass - East,5.2,roundtrip,1300.0,4300.0,2.8,5,47.85861228,-120.9636784,10/1/21 0:00,45,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/cady-creek
386,Two Dollar Trail,Puget Sound and Islands,Bellingham Area,3.4,roundtrip,550.0,1100.0,4.5,4,48.67522,-122.4833,8/3/21 0:00,51,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/two-dollar-trail
387,Little Mountain Park - Darvill Loop,Puget Sound and Islands,Bellingham Area,4.4,roundtrip,860.0,934.0,3.0,3,48.38474257,-122.3095448,9/19/21 0:00,39,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/little-mountain-park-darvill-trail
388,Little Mountain Park - Up Quick,Puget Sound and Islands,Bellingham Area,0.2,one-way,241.0,,2.33,3,48.38877894,-122.3028939,5/8/21 0:00,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/little-mountain-park-up-quick
389,Blackbird Island - Waterfront Park,Central Cascades,Leavenworth Area,2.0,roundtrip,100.0,1100.0,5.0,2,47.59391689,-120.6626621,5/8/21 0:00,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/blackbird-island-waterfront-park
390,Moss Lake,Puget Sound and Islands,Seattle-Tacoma Area,2.5,roundtrip,,,3.0,4,47.6928142,-121.8503537,7/30/21 0:00,47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/moss-lake
391,Coyote Wall - Moab/Maui Loop,Southwest Washington,Columbia River Gorge - WA,3.8,roundtrip,850.0,900.0,4.0,2,45.6993461,-121.4148305,4/18/21 0:00,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/maui-falls-co5
392,Lemah Meadow,Snoqualmie Region,Salmon La Sac/Teanaway,1.0,one-way,200.0,3250.0,3.0,4,47.462291,-121.2809809,10/2/21 0:00,19,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lemah-meadow
393,Goat Creek,Mount Rainier Area,Chinook Pass - Hwy 410,9.8,roundtrip,3400.0,6473.0,4.0,1,46.91691229,-121.2336856,7/30/21 0:00,24,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/goat-creek
394,Bainbridge Island Japanese American Exclusion Memorial,Puget Sound and Islands,Seattle-Tacoma Area,,,,,4.0,4,47.61540598,-122.5102281,4/16/21 0:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/bainbridge-island-japanese-american-exclusion-memorial
395,Toutle Trail - Kalama Horse Camp to Red Rock Pass,South Cascades,Mount St. Helens,4.8,one-way,1300.0,3280.0,0.0,0,46.14294982,-122.3244327,10/31/20 0:00,5,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/toutle-trail-kalama-horse-camp-to-red-rock-pass
396,Kalaloch - Browns Point,Olympic Peninsula,Pacific Coast,4.0,roundtrip,25.0,25.0,3.88,8,47.61285,-124.3761667,8/14/21 0:00,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/kalaloch-browns-point
397,Blanchard Hill - Alternate Incline Trail,Puget Sound and Islands,Bellingham Area,4.2,roundtrip,1000.0,1890.0,5.0,1,48.61716526,-122.3855495,10/18/21 0:00,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/incline-alternate-blanchard-hill
398,Goat Mountain and Deadman's Lake,South Cascades,Mount St. Helens,11.2,roundtrip,2400.0,5025.0,3.82,11,46.356333,-122.070033,9/5/21 0:00,69,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/goat-mountain-1
399,Fishtrap Lake - Scroggie Loop,Eastern Washington,Spokane Area/Coeur d'Alene,3.0,roundtrip,200.0,2260.0,2.5,4,47.33346041,-117.777729,10/5/19 0:00,9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/fishtrap-lake-scroggie-loop
400,Fallsview Canyon (Falls View),Olympic Peninsula,Hood Canal,1.5,roundtrip,300.0,400.0,3.43,7,47.78955,-122.9282833,8/27/21 0:00,72,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/fallsview-canyon-1
401,Squire Creek Pass via Eight-mile Trail,North Cascades,Mountain Loop Highway,5.4,roundtrip,2350.0,4107.0,4.17,6,48.1573474,-121.6092789,10/16/21 0:00,126,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/eight-mile-squire-creek-pass
402,Deception Pass,Central Cascades,Stevens Pass - West,28.0,roundtrip,1100.0,4500.0,3.44,9,47.54432242,-121.0973167,9/5/21 0:00,91,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/deception-pass
403,Deep Lake,South Cascades,Mount Adams Area,5.0,roundtrip,900.0,5100.0,3.0,5,46.04797783,-121.7548496,8/23/21 0:00,11,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/deep-lake-2
404,CCC Road: Lower Section,Snoqualmie Region,North Bend Area,8.0,roundtrip,550.0,1650.0,4.0,3,47.48644,-121.7103195,7/24/21 0:00,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/ccc-road-lower-trailhead
405,Catherine Creek - Natural Arch,Southwest Washington,Columbia River Gorge - WA,2.1,roundtrip,250.0,500.0,4.0,1,45.71085432,-121.3612461,10/4/21 0:00,30,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/catherine-creek-natural-arch
406,Cedar Downs,Puget Sound and Islands,Seattle-Tacoma Area,4.0,roundtrip,,,4.17,6,47.373867,-122.055672,2/6/21 0:00,22,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/cedar-downs
407,Bird Mountain Loop,South Cascades,Mount Adams Area,10.25,roundtrip,1875.0,5230.0,3.11,9,46.0471,-121.75615,9/6/19 0:00,26,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/bird-mountain-loop
408,Augspurger Trail,Southwest Washington,Columbia River Gorge - WA,15.5,roundtrip,4400.0,3000.0,2.75,4,45.6991229,-121.7062141,5/17/21 0:00,24,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/augspurger-trail
409,Barnes Creek,Olympic Peninsula,Northern Coast,10.0,roundtrip,3300.0,5090.0,3.14,7,48.0578167,-123.7884333,8/5/21 0:00,45,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/barnes-creek
410,Angry Mountain,South Cascades,,16.8,roundtrip,3409.0,6049.0,3.25,8,46.51840318,-121.5943945,9/16/21 0:00,19,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/angry-mountain
411,Port Gamble Forest - Beaver Pond Trail,Olympic Peninsula,Kitsap Peninsula,2.0,roundtrip,,,3.0,2,47.84022497,-122.5876647,9/18/21 0:00,13,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/port-gamble-forest-beaver-pond-trail
412,Big Rock Trail,Puget Sound and Islands,Seattle-Tacoma Area,1.25,roundtrip,,,0.0,0,47.60024781,-122.0480432,8/26/21 0:00,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/big-rock-trail
413,Dishman Hills Conservation Area - Flying L Trail,Eastern Washington,Spokane Area/Coeur d'Alene,2.2,one-way,660.0,2788.0,0.0,0,47.6193623,-117.2736225,11/2/21 0:00,4,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/dishman-hills-conservation-area-philips-creek-flying-l-trail
414,Dosewallips State Park - Maple Valley Loop,Olympic Peninsula,Hood Canal,1.5,roundtrip,,,4.0,1,47.69048406,-122.9052393,7/22/21 0:00,44,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/dosewallips-state-park-maple-valley-loop
415,Whittaker Wilderness Peak,Issaquah Alps,Cougar Mountain,3.0,roundtrip,1228.0,1598.0,2.2,5,47.52731865,-122.0645079,9/25/21 0:00,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/whittaker-wilderness-peak
416,Tubal Cain Mine,Olympic Peninsula,Hood Canal,7.2,roundtrip,1600.0,4600.0,3.38,8,47.88607504,-123.0913353,10/30/21 0:00,181,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/tull-canyon
417,Tiger Mountain Trail North,Issaquah Alps,Tiger Mountain,15.5,roundtrip,2400.0,2500.0,2.75,8,47.52965,-121.9957,11/3/21 0:00,92,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/tiger-mountain-trail-north
418,Tatoosh Lookout,South Cascades,White Pass/Cowlitz River Valley,10.4,roundtrip,4100.0,6400.0,3.67,6,46.71314935,-121.7158556,9/21/21 0:00,75,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tatoosh-lookout
419,Tatoosh Ridge,South Cascades,White Pass/Cowlitz River Valley,6.2,roundtrip,2900.0,5775.0,3.73,11,46.71313464,-121.7159843,9/21/21 0:00,122,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tatoosh
420,Waptus Lake,Snoqualmie Region,Salmon La Sac/Teanaway,,,900.0,3100.0,4.0,4,47.3837308,-121.1001429,9/12/21 0:00,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/waptus-lake
421,Mystery Bay State Park,Olympic Peninsula,Pacific Coast,,,,,0.0,0,,,1/16/15 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mystery-bay-state-park
422,Surveyors Lake Snowshoe,Snoqualmie Region,Snoqualmie Pass,,,,,4.0,1,47.39069222,-121.3964238,3/8/21 0:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/surveyors-lake-snowshoe
423,Pebble Creek,Mount Rainier Area,SW - Longmire/Paradise,,,,,4.0,1,,,9/11/21 0:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/pebble-creek-hike
424,Old Miners Trail,Issaquah Alps,Cougar Mountain,,,,,0.0,0,,,1/26/21 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/old-miners-trail-c-11
425,Joyride,Issaquah Alps,Tiger Mountain,,,,,0.0,0,,,4/24/21 0:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/joyride
426,La Rush/Bear Lakes,North Cascades,North Cascades Highway - Hwy 20,,,,,0.0,0,48.50545964,-121.2796211,9/7/21 0:00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/la-rush-bear-lakes
427,Bear Lake,South Cascades,Mount Adams Area,,,,,4.0,1,,,7/8/21 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-lake-4
428,Silver Creek,Mount Rainier Area,Chinook Pass - Hwy 410,,,,,0.0,0,,,9/25/21 0:00,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/silver-creek
429,Round Butte,Eastern Washington,Palouse and Blue Mountains,,,,,0.0,0,,,7/20/19 0:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/round-butte
430,Olympic Adventure Route,Olympic Peninsula,Northern Coast,,,,,4.0,1,48.12183962,-123.7836993,7/9/21 0:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/olympic-adventure-route
431,Lakes Basin Loop,Eastern Washington,Palouse and Blue Mountains,,,,,3.0,1,45.2809586,-117.212776,9/6/19 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/lakes-basin-loop-eagle-cap-wilderness
432,Timothy Lake Loop,Southwest Washington,Columbia River Gorge - OR,,,,,0.0,0,,,8/5/14 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/timothy-lake-loop
433,UW Bothell-Cascadia Community College Wetlands,Puget Sound and Islands,Seattle-Tacoma Area,1.0,roundtrip,,,1.0,1,,,12/23/19 0:00,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/uw-bothell-cascadia-community-college-wetlands
434,Oxbow Regional Park,Southwest Washington,Columbia River Gorge - WA,,,,,0.0,0,,,8/3/14 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/oxbow-regional-park
435,Sahale Peak,North Cascades,,,,,,0.0,0,48.48202502,-121.0804081,7/25/21 0:00,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/sahale-peak
436,Mount Leona,Eastern Washington,Okanogan Highlands/Kettle River Range,6.0,roundtrip,1500.0,6474.0,0.0,0,48.765367,-118.487967,7/2/17 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mount-leona
437,Colchuck Peak,Central Cascades,Leavenworth Area,,,,,0.0,0,,,7/4/21 0:00,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/colchuck-peak
438,Stiletto Lake,North Cascades,Methow/Sawtooth,12.6,roundtrip,3200.0,6810.0,4.0,1,,,10/7/21 0:00,21,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/stiletto-lake
439,Fortune Peak via Esmeralda Basin (Esmerelda),Snoqualmie Region,Salmon La Sac/Teanaway,,,,,0.0,0,47.4291889,-120.9377177,7/18/21 0:00,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/fortune-peak-via-esmeralda-basin-esmerelda-1394
440,Razorback Mountain Snowshoe,North Cascades,North Cascades Highway - Hwy 20,,,,,0.0,0,,,5/1/13 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/razorback-mountain-snowshoe
441,Corax Peak,North Cascades,Methow/Sawtooth,,,,,0.0,0,,,8/13/11 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/corax-peak
442,Cabinet Peak,North Cascades,North Cascades Highway - Hwy 20,,,,,0.0,0,48.63867434,-120.8512656,5/7/16 0:00,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/cabinet-peak
443,Soda Springs,Mount Rainier Area,Chinook Pass - Hwy 410,,,,,0.0,0,,,7/3/21 0:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/soda-springs-trail-975
444,The Eaglet,North Cascades,Mountain Loop Highway,,,,,0.0,0,,,3/23/14 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/the-eaglet
445,Moss Lake Loop,Mount Rainier Area,Chinook Pass - Hwy 410,0.75,roundtrip,,2400.0,0.0,0,47.0351251,-121.5613549,5/16/21 0:00,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/moss-lake-loop
446,Blowdown Mountain Road,Snoqualmie Region,North Bend Area,,,,,1.5,4,47.53068999,-121.6927359,10/26/21 0:00,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blowdown-mountain-road
447,Kangaroo Temple,North Cascades,North Cascades Highway - Hwy 20,,,,,2.0,1,48.51433012,-120.6424999,6/2/18 0:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/kangaroo-temple
448,Mutton Mountain,Mount Rainier Area,Chinook Pass - Hwy 410,,,,,0.0,0,47.001916,-121.519038,8/29/21 0:00,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/mutton-mountain
449,Cripple Creek Falls,Snoqualmie Region,Snoqualmie Pass,,,,,0.0,0,,,3/17/12 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/cripple-creek-falls
450,Lyman Lakes,Central Cascades,Entiat Mountains/Lake Chelan,21.0,roundtrip,2774.0,5983.0,3.44,9,48.19841251,-120.7745934,9/15/21 0:00,40,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/lyman-lakes
451,Log Flume,Eastern Washington,Okanogan Highlands/Kettle River Range,0.4,roundtrip,,,3.2,5,48.5816664,-118.2337174,9/10/19 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/log-flume
452,Mad Lake,Central Cascades,Entiat Mountains/Lake Chelan,12.2,one-way,1800.0,,3.67,3,47.8410068,-120.6045038,7/13/20 0:00,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/mad-lake
453,Lake Julius and Loch Eileen,Central Cascades,Stevens Pass - East,15.9,roundtrip,3815.0,5735.0,2.5,6,47.72828333,-120.8436667,10/17/21 0:00,39,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/loch-eileen
454,Lower Mad River Valley,Central Cascades,Entiat Mountains/Lake Chelan,14.9,one-way,2500.0,2000.0,3.5,6,47.75888333,-120.4271333,6/1/21 0:00,54,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lower-mad-river
455,Lakeview Ranch,Central Washington,Potholes Region,5.3,roundtrip,450.0,1780.0,3.75,4,47.413833,-118.741233,3/8/20 0:00,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/lakeview-ranch
456,Libby Lake,North Cascades,Methow/Sawtooth,10.2,roundtrip,3210.0,7640.0,3.38,8,48.27593333,-120.2900333,9/25/21 0:00,37,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/libby-lake
457,Little Giant Pass,Central Cascades,Stevens Pass - East,10.0,roundtrip,4000.0,6409.0,4.09,11,48.02583333,-120.8286,10/8/21 0:00,124,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/little-giant
458,Lanham Lake,Central Cascades,Stevens Pass - East,3.2,roundtrip,1140.0,4140.0,2.83,6,47.77163333,-121.0136333,8/24/21 0:00,52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lanham-lake
459,Leroy Creek High Route,Central Cascades,,,,,,2.71,7,48.06864483,-120.8413482,10/3/21 0:00,75,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,,https://www.wta.org/go-hiking/hikes/leroy-creek-high-route
460,Lenore Lake Caves,Central Washington,Grand Coulee,1.5,roundtrip,200.0,1300.0,3.57,7,47.51737324,-119.4937698,6/16/21 0:00,69,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/lenore-lake-caves
461,Lake Elizabeth,Central Cascades,Stevens Pass - West,0.75,roundtrip,69.0,2890.0,2.67,6,47.70121419,-121.5182033,10/16/21 0:00,49,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/lake-elizabeth
462,Klahhane Ridge,Olympic Peninsula,Northern Coast,5.0,roundtrip,1700.0,6050.0,4.5,26,47.98708333,-123.4608667,10/8/21 0:00,222,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/klahhane-ridge
463,Lake Constance,Olympic Peninsula,Hood Canal,4.4,roundtrip,3300.0,4800.0,3.83,18,47.729617,-123.141733,9/11/21 0:00,92,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,"National Park Pass, Northwest Forest Pass",https://www.wta.org/go-hiking/hikes/lake-constance
464,Kettle Crest North,Eastern Washington,Okanogan Highlands/Kettle River Range,29.0,one-way,5200.0,7135.0,3.5,8,48.60907894,-118.4844589,8/4/21 0:00,45,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/kettle-crest-north
465,45 Mile Sheep Drive,Central Cascades,Entiat Mountains/Lake Chelan,4.9,one-way,,3144.0,4.0,5,48.024502,-120.650212,8/9/08 0:00,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,https://www.wta.org/go-hiking/hikes/45-mile-sheep-drive
466,Columbia Mountain Snowshoe,Eastern Washington,Okanogan Highlands/Kettle River Range,7.5,roundtrip,1400.0,,3.4,5,48.6073431,-118.4786315,4/15/21 0:00,5,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,Sno-Parks Permit,https://www.wta.org/go-hiking/hikes/columbia-mountain-snowshoe
467,Foggy Dew Creek,North Cascades,Methow/Sawtooth,14.0,roundtrip,4620.0,8050.0,2.75,4,48.17513,-120.26125,10/17/21 0:00,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/foggy-dew-creek
468,Railroad Bridge Park,Olympic Peninsula,Northern Coast,,,,,3.0,4,48.08533208,-123.1468399,7/16/21 0:00,16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/railroad-bridge-park
469,Chain Lakes Trail,Central Cascades,Stevens Pass - East,4.2,one-way,1900.0,5700.0,3.86,7,47.74604833,-121.086574,9/4/21 0:00,72,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/chain-lakes-trail
470,Silver Falls Interpretive Trail,Central Cascades,Entiat Mountains/Lake Chelan,1.2,roundtrip,,2400.0,2.0,4,47.95576041,-120.534482,5/23/21 0:00,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/silver-falls-interpretive-trail
